iter	Passed	Remaining
211	327	1218
212	328	1215
213	329	1211
214	330	1208
215	331	1204
216	332	1200
217	333	1196
218	334	1192
219	335	1189
220	336	1186
221	337	1182
222	338	1178
223	339	1174
224	339	1170
225	340	1167
226	341	1163
227	342	1160
228	343	1156
229	344	1152
230	345	1148
231	345	1144
232	346	1140
233	347	1138
234	348	1135
235	349	1131
236	350	1128
237	351	1124
238	351	1120
239	352	1116
240	353	1113
241	354	1111
242	355	1107
243	356	1104
244	357	1100
245	357	1096
246	358	1093
247	359	1089
248	360	1086
249	361	1084
250	362	1081
251	363	1078
252	364	1075
253	364	1071
254	365	1068
255	366	1066
256	367	1063
257	368	1060
258	369	1057
259	370	1054
260	371	1051
261	371	1047
262	373	1045
263	374	1044
264	375	1041
265	376	1039
266	377	1037
267	379	1035
268	380	1033
269	381	1031
270	382	1029
271	383	1026
272	384	1023
273	385	1021
274	386	1019
275	387	1017
276	388	1014
277	389	1012
278	390	1010
279	392	1008
280	393	1006
281	394	1003
282	395	1001
283	396	998
284	397	996
285	398	994
286	399	992
287	400	989
288	400	986
289	401	983
290	402	980
291	403	977
292	404	975
293	405	973
294	406	971
295	407	968
296	407	965
297	408	962
298	409	960
299	410	958
300	411	955
301	412	952
302	413	950
303	414	947
304	414	945
305	415	942
306	416	940
307	417	937
308	418	935
309	419	932
310	419	930
311	420	927
312	421	924
313	422	922
314	423	920
315	424	918
316	425	915
317	425	913
318	426	910
319	427	908
320	428	905
321	429	903
322	430	901
323	430	899
324	431	896
325	432	894
326	433	891
327	434	889
328	435	887
329	436	885
330	436	882
331	437	880
332	438	877
333	439	875
334	439	873
335	440	870
336	441	868
337	442	866
338	443	864
339	444	862
340	445	860
341	445	857
342	446	855
343	447	853
344	448	851
345	449	849
346	450	847
347	450	844
348	451	842
349	452	840
350	453	837
351	454	836
352	455	834
353	455	832
354	456	830
355	457	827
356	458	825
357	459	823
358	460	821
359	461	819
360	462	818
361	463	816
362	463	813
363	464	811
364	465	809
365	466	807
366	467	805
367	468	804
368	469	802
369	470	800
370	470	798
371	471	796
372	472	794
373	473	793
374	474	791
375	475	789
376	476	787
377	477	785
378	478	783
379	479	781
380	480	779
381	481	778
382	482	776
383	483	774
384	483	773
385	484	771
386	485	769
387	486	768
388	488	766
389	489	765
390	490	763
391	491	761
392	492	760
393	493	758
394	494	757
395	495	755
396	495	753
397	496	751
398	497	750
399	498	748
400	500	747
401	501	745
402	502	744
403	503	742
404	504	741
405	506	740
406	507	738
407	507	737
408	508	735
409	509	733
410	510	732
411	511	730
412	513	729
413	514	727
414	514	725
415	516	724
416	517	722
417	518	721
418	519	720
419	520	718
420	521	716
421	522	715
422	523	713
423	524	712
424	525	711
425	526	709
426	527	707
427	528	706
428	529	704
429	530	703
430	531	702
431	532	700
432	533	699
433	534	697
434	535	695
435	536	694
436	537	692
437	538	691
438	539	689
439	540	687
440	541	686
441	542	684
442	543	683
443	544	681
444	545	680
445	546	679
446	547	677
447	548	676
448	550	675
449	551	673
450	552	672
451	553	670
452	554	669
453	555	667
454	556	666
455	557	664
456	558	663
457	559	661
458	560	660
459	561	658
460	562	657
461	563	655
462	564	654
463	564	652
464	565	651
465	567	649
466	568	648
467	569	647
468	570	645
469	570	643
470	571	642
471	573	641
472	574	639
473	575	638
474	576	636
475	577	635
476	578	634
477	579	632
478	580	631
479	581	630
480	582	628
481	583	626
482	584	625
483	585	623
484	586	622
485	587	620
486	588	619
487	588	617
488	589	616
489	590	614
490	591	613
491	593	612
492	593	610
493	594	609
494	595	607
495	596	606
496	597	604
497	598	603
498	599	601
499	600	600
500	601	598
501	602	597
502	603	596
503	604	594
504	605	593
505	606	591
506	607	590
507	608	589
508	609	587
509	610	586
510	611	585
511	612	584
512	613	582
513	614	581
514	615	579
515	616	578
516	618	577
517	618	575
518	620	574
519	620	573
520	621	571
521	622	570
522	623	568
523	624	567
524	625	566
525	626	564
526	627	563
527	628	561
528	629	560
529	630	559
530	631	558
531	632	556
532	633	555
533	634	553
534	635	552
535	636	551
536	637	549
537	638	548
538	640	547
539	641	546
540	642	545
541	643	543
542	644	542
543	645	540
544	645	539
545	646	537
546	647	536
547	648	535
548	649	533
549	650	532
550	651	530
551	652	529
552	652	527
553	653	526
554	654	525
555	656	523
556	656	522
557	657	521
558	658	519
559	659	518
560	660	516
561	661	515
562	662	514
563	663	513
564	664	511
565	665	510
566	667	509
567	668	508
568	669	506
569	670	505
570	671	504
571	672	502
572	673	501
573	674	500
574	675	499
575	676	497
576	677	496
577	678	495
578	680	494
579	681	493
580	682	492
581	683	490
582	684	489
583	685	488
584	686	487
585	687	485
586	688	484
587	689	482
588	690	481
589	691	480
590	692	479
591	693	478
592	694	476
593	695	475
594	696	474
595	697	473
596	698	471
597	699	470
598	700	469
599	701	467
600	702	466
601	703	465
602	704	464
603	705	462
604	706	461
605	707	460
606	708	458
607	709	457
608	710	456
609	711	454
610	712	453
611	713	452
612	714	450
613	715	449
614	716	448
615	717	447
616	718	446
617	719	444
618	720	443
619	721	442
620	722	441
621	723	439
622	724	438
623	725	437
624	726	435
625	727	434
626	728	433
627	729	432
628	730	430
629	731	429
630	732	428
631	733	426
632	734	425
633	735	424
634	736	423
635	736	421
636	737	420
637	738	419
638	739	417
639	740	416
640	741	415
641	742	413
642	743	412
643	744	411
644	745	410
645	745	408
646	746	407
647	748	406
648	749	405
649	750	403
650	751	402
651	752	401
652	753	400
653	754	398
654	755	397
655	756	396
656	756	395
657	757	393
658	758	392
659	759	391
660	760	390
661	761	388
662	762	387
663	763	386
664	764	385
665	765	384
666	766	382
667	767	381
668	768	380
669	769	378
670	770	377
671	771	376
672	772	375
673	773	373
674	773	372
675	774	371
676	775	370
677	776	368
678	777	367
679	778	366
680	779	365
681	780	363
682	780	362
683	781	361
684	782	359
685	783	358
686	784	357
687	785	356
688	786	355
689	787	353
690	788	352
691	788	351
692	789	349
693	790	348
694	791	347
695	792	346
696	793	344
697	794	343
698	794	342
699	796	341
700	797	339
701	798	338
702	799	337
703	799	336
704	800	335
705	801	333
706	802	332
707	803	331
708	804	330
709	805	328
710	806	327
711	806	326
712	807	325
713	808	323
714	809	322
715	810	321
716	811	320
717	812	319
718	813	317
719	814	316
720	815	315
721	816	314
722	817	313
723	818	311
724	818	310
725	819	309
726	820	308
727	821	307
728	822	305
729	823	304
730	824	303
731	825	302
732	826	301
733	827	299
734	828	298
735	829	297
736	830	296
737	830	295
738	831	293
739	832	292
740	833	291
741	834	290
742	835	289
743	836	287
744	837	286
745	838	285
746	839	284
747	840	283
748	841	282
749	842	280
750	843	279
751	844	278
752	845	277
753	846	276
754	847	274
755	848	273
756	849	272
757	850	271
758	851	270
759	852	269
760	853	268
761	854	266
762	855	265
763	856	264
764	857	263
765	858	262
766	859	261
767	860	259
768	861	258
769	862	257
770	863	256
771	864	255
772	865	254
773	866	252
774	867	251
775	868	250
776	869	249
777	870	248
778	872	247
779	873	246
780	874	245
781	875	244
782	876	242
783	877	241
784	878	240
785	879	239
786	880	238
787	881	237
788	882	235
789	883	234
790	884	233
791	885	232
792	886	231
793	887	230
794	888	229
795	888	227
796	889	226
797	890	225
798	891	224
799	892	223
800	893	222
801	894	220
802	895	219
803	896	218
804	897	217
805	898	216
806	899	215
807	900	213
808	900	212
809	901	211
810	902	210
811	904	209
812	905	208
813	905	207
814	906	205
815	907	204
816	908	203
817	909	202
818	910	201
819	911	200
820	912	198
821	912	197
822	913	196
823	914	195
824	915	194
825	916	193
826	917	191
827	918	190
828	918	189
829	919	188
830	920	187
831	921	186
832	922	184
833	923	183
834	924	182
835	924	181
836	925	180
837	926	179
838	927	177
839	928	176
840	929	175
841	930	174
842	931	173
843	932	172
844	933	171
845	934	170
846	935	168
847	936	167
848	937	166
849	938	165
850	939	164
851	940	163
852	941	162
853	942	161
854	943	159
855	944	158
856	944	157
857	945	156
858	946	155
859	947	154
860	948	153
861	949	152
862	950	150
863	951	149
864	952	148
865	953	147
866	954	146
867	955	145
868	956	144
869	956	142
870	957	141
871	958	140
872	959	139
873	960	138
874	961	137
875	962	136
876	963	135
877	964	134
878	965	132
879	966	131
880	967	130
881	968	129
882	969	128
883	969	127
884	970	126
885	971	125
886	972	123
887	973	122
888	974	121
889	975	120
890	976	119
891	976	118
892	977	117
893	978	116
894	979	114
895	980	113
896	981	112
897	982	111
898	982	110
899	983	109
900	985	108
901	986	107
902	986	106
903	987	104
904	988	103
905	989	102
906	989	101
907	990	100
908	991	99
909	992	98
910	993	97
911	994	95
912	995	94
913	995	93
914	996	92
915	997	91
916	998	90
917	999	89
918	1000	88
919	1001	87
920	1001	85
921	1002	84
922	1003	83
923	1004	82
924	1005	81
925	1006	80
926	1007	79
927	1007	78
928	1008	77
929	1009	75
930	1010	74
931	1011	73
932	1012	72
933	1013	71
934	1014	70
935	1014	69
936	1015	68
937	1016	67
938	1017	66
939	1018	65
940	1019	63
941	1020	62
942	1021	61
943	1022	60
944	1023	59
945	1024	58
946	1024	57
947	1025	56
948	1026	55
949	1027	54
950	1028	53
951	1029	51
952	1030	50
953	1031	49
954	1032	48
955	1033	47
956	1034	46
957	1035	45
958	1036	44
959	1037	43
960	1038	42
961	1039	41
962	1040	39
963	1041	38
964	1042	37
965	1043	36
966	1044	35
967	1045	34
968	1045	33
969	1046	32
970	1047	31
971	1049	30
972	1050	29
973	1051	28
974	1052	26
975	1053	25
976	1054	24
977	1055	23
978	1056	22
979	1057	21
980	1058	20
981	1059	19
982	1060	18
983	1061	17
984	1062	16
985	1063	15
986	1064	14
987	1065	12
988	1067	11
989	1068	10
990	1069	9
991	1070	8
992	1071	7
993	1072	6
994	1073	5
995	1074	4
996	1075	3
997	1076	2
998	1077	1
999	1078	0
